Values-based working culture,Connected to HUGO BOSS,Informed about HUGO BOSS values,Values lived out across the organisation,Values lived out in the day-to-day business,Values positively influence the working atmosphere,Values have a positive influence on your motivation and engagement,Values support you at work,Importance of TRUST,TRUST reflected daily,Importance of ENTREPRENEURIAL SPIRIT,ENTREPRENEURIAL SPIRIT reflected daily,Importance of YOUTHFUL SPIRIT,YOUTHFUL SPIRIT reflected daily,Importance of SIMPLICITY & QUALITY,SIMPLICITY & QUALITY reflected daily,Importance of TEAM MENTALITY,TEAM MENTALITY reflected daily,Importance of PERSONAL OWNERSHIP,PERSONAL OWNERSHIP reflected daily,Please select the country you are based in - Country,Which occupational group are you a part of?,Are you currently in a leadership position?,How long have you been working at HUGO BOSS?,How old are you?,Functional Group
1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0,2,1,1,-1,Netherlands,White Collar,Yes,1-3 years,43 - 50,Corporate & Administrative
2,2,2,1,1,2,2,2,2,2,2,1,1,2,2,1,2,0,1,1,Germany,White Collar,No,> 10 years,35 - 42,Corporate & Administrative
0,1,0,1,0,-2,-2,-2,0,No answer,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,Germany,White Collar,No,5-10 years,27 - 34,IT & Technical Services
1,0,2,-1,-1,0,0,0,0,-1,1,1,-1,-1,0,0,-2,-2,-1,-1,Germany,White Collar,No,3-5 years,27 - 34,Logistics & Operations
1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,1,Switzerland,No answer,No,1-3 years,27 - 34,Logistics & Operations
1,2,1,0,-1,0,0,-1,2,1,-1,-1,0,0,1,0,2,1,2,1,Germany,Blue Collar,Yes,> 10 years,35 - 42,IT & Technical Services
1,0,2,0,0,-1,-1,0,2,0,1,0,0,0,0,0,2,0,1,0,United Kingdom,White Collar,Yes,5-10 years,35 - 42,Sales & Retail
2,1,1,0,1,1,0,0,2,1,1,0,0,-1,1,0,2,1,1,1,Germany,White Collar,No answer,No answer,No answer,Sales & Retail
1,1,2,-1,-1,-2,-2,-1,0,-1,1,1,1,1,1,0,2,2,1,1,Germany,,No,5-10 years,27 - 34,Corporate & Administrative
2,1,1,0,-1,0,0,1,1,1,2,-1,1,0,1,0,1,0,2,-1,Germany,White Collar,No,5-10 years,35 - 42,IT & Technical Services
