,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"HUGO BOSS AG
GPTW Survey 2023
October 30, 2023 - November 18, 2023
HB Global 2023 Results","Overall
(Nov 2023)",Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Australien,Belgien,Brasilien,China,Dänemark,Deutschland,Dubai,Finnland,Frankreich,Griechenland,Großbritanien,Hong Kong,Irland,Italien,Japan,Kanada,Katar,Malysia,Mexiko,Niederlande,Norwegen,Österreich,Polen,Portugal,Schweden,Schweiz,Singapur,Spanien,Südkorea,Taiwan,Thailand,Türkei,USA
Global filter (Nov 2023): Overall Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Number of Responses:,14416,196,77,241,1162,77,2917,167,22,387,71,820,72,36,294,250,290,24,62,250,174,12,83,192,136,39,503,89,250,93,60,41,4721,600
Statements,I am given the resources and equipment to do my job.,71,79,75,77,83,71,87,93,73,66,66,79,64,75,79,70,73,75,79,76,57,67,88,86,79,92,84,64,75,74,40,85,52,70
,This is a physically safe place to work.,86,89,82,90,95,92,93,96,86,73,85,87,86,81,83,79,80,100,81,88,67,50,93,85,77,77,96,83,88,86,58,88,82,80
,Everyone has an opportunity to get special recognition.,58,71,58,67,76,66,68,85,59,49,61,63,62,64,52,57,70,83,66,66,50,42,77,49,56,77,60,62,56,56,32,76,43,58
,People here are willing to give extra to get the job done.,71,67,73,72,86,65,77,89,59,67,76,67,65,58,52,75,69,71,61,77,48,42,73,70,62,69,72,63,68,82,63,80,68,60
,You can count on people to cooperate.,66,71,70,70,89,71,72,83,82,72,66,67,67,66,59,61,67,71,58,73,49,58,77,71,59,74,73,61,69,78,57,80,57,55
,Management makes its expectations clear.,70,80,71,77,88,68,71,90,82,66,66,78,81,81,70,72,79,83,63,75,58,67,87,73,74,79,71,66,70,75,55,78,63,63
,I can ask management any reasonable question and get a straight answer.,66,79,75,74,80,71,77,93,68,65,74,75,72,69,66,60,77,83,60,78,62,67,80,71,74,79,73,74,69,70,45,66,51,60
